movie_title,production_date,genres,runtime_minutes,director_name
X,2022-03-17,"Horror,Mystery,Thriller",105,Ti West
Wrath of Man,2021-04-22,"Action,Crime,Thriller",119,Guy Ritchie
Where the Crawdads Sing,2022-07-15,"Drama,Mystery,Romance",125,Olivia Newman
West Side Story,2021-12-08,"Crime,Drama,Musical",156,Steven Spielberg
Voyagers,2021-04-08,"Adventure,Sci-Fi,Thriller",108,Neil Burger
Uncharted,2022-02-10,"Action,Adventure",116,Ruben Fleischer
Top Gun: Maverick,2022-05-20,"Action,Drama",130,Joseph Kosinski
Ticket to Paradise,2022-09-08,"Comedy,Romance",104,Ol Parker
Thor: Love and Thunder,2022-07-01,"Action,Adventure,Comedy",118,Taika Waititi
The Woman King,2022-09-15,"Action,Drama,History",135,Gina Prince-Bythewood
The Unholy,2021-04-02,"Drama,Horror,Mystery",99,Evan Spiliotopoulos
The Unbearable Weight of Massive Talent,2022-04-01,"Action,Comedy,Crime",107,Tom Gormican
The Suicide Squad,2021-07-28,"Action,Adventure,Comedy",132,James Gunn
The Menu,2022-11-16,"Horror,Thriller",107,Mark Mylod
The Matrix Resurrections,2021-12-16,"Action,Sci-Fi",148,Lana Wachowski
The Marksman,2021-01-15,"Action,Drama",108,Robert Lorenz
The Many Saints of Newark,2021-09-24,"Crime,Drama",120,Alan Taylor
The Lost City,2022-03-24,"Action,Adventure,Comedy",112,-
The Little Things,2021-01-28,"Crime,Drama,Mystery",128,John Lee Hancock
The Last Duel,2021-10-13,"Action,Drama,History",152,Ridley Scott
The House Next Door: Meet the Blacks 2,2021-06-11,"Action,Comedy,Horror",97,Deon Taylor
The Green Knight,2021-07-30,"Adventure,Drama,Fantasy",130,David Lowery
The Forever Purge,2021-07-01,"Action,Crime,Horror",103,Everardo Gout
The Conjuring: The Devil Made Me Do It,2021-03-07,"Horror,Mystery,Thriller",112,Michael Chaves
The Batman,2022-03-01,"Action,Crime,Drama",176,Matt Reeves
The Bad Guys,2022-03-17,"Adventure,Animation,Comedy",100,Pierre Perifel
The 355,2022-01-06,"Action,Thriller",122,Simon Kinberg
Terrifier 2,2022-10-06,Horror,138,Damien Leone
Strange World,2022-11-22,"Action,Adventure,Animation",102,-
Spirit Untamed,2021-03-07,"Adventure,Animation,Comedy",88,-
Spiral,2021-05-12,"Crime,Drama,Horror",93,Darren Lynn Bousman
Spiral,2021-05-12,Drama,92,Sofiene Mamdi
Spider-Man: No Way Home,2021-12-14,"Action,Adventure,Fantasy",148,Jon Watts
Space Jam: A New Legacy,2021-07-14,"Adventure,Animation,Comedy",115,Malcolm D. Lee
Sonic the Hedgehog 2,2022-03-30,"Action,Adventure,Comedy",122,Jeff Fowler
Smile,2022-09-28,"Horror,Mystery,Thriller",115,Parker Finn
Smile,2022-09-28,Drama,115,Ketan Pendse
Sing 2,2021-12-01,"Adventure,Animation,Comedy",110,-
Shang-Chi and the Legend of the Ten Rings,2021-09-01,"Action,Adventure,Fantasy",132,Destin Daniel Cretton
Scream,2022-01-12,"Horror,Mystery,Thriller",114,-
Resident Evil: Welcome to Raccoon City,2021-11-24,"Action,Horror,Sci-Fi",107,Johannes Roberts
Reminiscence,2021-08-18,"Mystery,Romance,Sci-Fi",116,Lisa Joy
Peter Rabbit 2: The Runaway,2021-03-26,"Adventure,Comedy,Crime",93,Will Gluck
Paws of Fury: The Legend of Hank,2022-07-15,"Action,Animation,Comedy",98,-
Old,2021-07-21,"Drama,Horror,Mystery",108,M. Night Shyamalan
Nope,2022-07-21,"Horror,Mystery,Sci-Fi",130,Jordan Peele
Nobody,2021-03-19,"Action,Crime,Drama",92,Ilya Naishuller
No Time to Die,2021-09-29,"Action,Adventure,Thriller",163,Cary Joji Fukunaga
Nightmare Alley,2021-12-17,"Crime,Drama,Thriller",150,Guillermo del Toro
National Champions,2021-12-10,"Drama,Sport",116,Ric Roman Waugh
Mrs. Harris Goes to Paris,2022-07-15,"Comedy,Drama",115,Anthony Fabian
Mortal Kombat,2021-04-08,"Action,Adventure,Fantasy",110,Simon McQuoid
Morbius,2022-03-30,"Action,Adventure,Horror",104,Daniel Espinosa
Moonfall,2022-02-03,"Action,Adventure,Sci-Fi",130,Roland Emmerich
Minions: The Rise of Gru,2022-06-16,"Adventure,Animation,Comedy",87,-
Malignant,2021-09-02,"Crime,Horror,Mystery",111,James Wan
"Lyle, Lyle, Crocodile",2022-10-06,"Adventure,Animation,Comedy",106,-
Lightyear,2022-06-15,"Action,Adventure,Animation",105,Angus MacLane
Licorice Pizza,2021-11-26,"Comedy,Drama,Romance",133,Paul Thomas Anderson
Last Night in Soho,2021-10-27,"Drama,Horror,Mystery",116,Edgar Wright
King Richard,2021-11-18,"Biography,Drama,Sport",144,Reinaldo Marcus Green
Jurassic World: Dominion,2022-06-01,"Action,Adventure,Sci-Fi",147,Colin Trevorrow
Jungle Cruise,2021-07-28,"Action,Adventure,Comedy",127,Jaume Collet-Serra
Judas and the Black Messiah,2021-02-12,"Biography,Drama,History",126,Shaka King
In the Heights,2021-06-10,"Drama,Musical,Romance",143,Jon M. Chu
House of Gucci,2021-11-24,"Biography,Crime,Drama",158,Ridley Scott
Halloween Kills,2021-10-14,"Horror,Thriller",105,David Gordon Green
Halloween Ends,2022-10-12,"Horror,Thriller",111,David Gordon Green
Godzilla vs. Kong,2021-03-25,"Action,Sci-Fi,Thriller",113,Adam Wingard
Ghostbusters: Afterlife,2021-11-18,"Adventure,Comedy,Fantasy",124,Jason Reitman
Father Stu,2022-04-13,"Biography,Drama",124,Rosalind Ross
Fantastic Beasts: The Secrets of Dumbledore,2022-04-06,"Adventure,Family,Fantasy",142,David Yates
F9: The Fast Saga,2021-05-20,"Action,Crime,Thriller",143,Justin Lin
Eternals,2021-11-03,"Action,Adventure,Fantasy",156,Chloé Zhao
Escape Room: Tournament of Champions,2021-07-01,"Action,Adventure,Horror",88,Adam Robitel
Encanto,2021-11-24,"Animation,Comedy,Family",102,-
Elvis,2022-06-22,"Biography,Drama,Music",159,Baz Luhrmann
Dune,2021-09-15,"Action,Adventure,Drama",155,Denis Villeneuve
Dog,2022-02-18,"Comedy,Drama",101,-
Dog,2022-02-18,"Drama,Thriller",83,Maxi Velloso
Doctor Strange in the Multiverse of Madness,2022-05-04,"Action,Adventure,Fantasy",126,Sam Raimi
Death on the Nile,2022-02-09,"Crime,Drama,Mystery",127,Kenneth Branagh
Clifford the Big Red Dog,2021-11-10,"Adventure,Animation,Comedy",96,Walt Becker
Chaos Walking,2021-02-03,"Action,Adventure,Fantasy",109,Doug Liman
Bullet Train,2022-07-14,"Action,Comedy,Thriller",127,David Leitch
Bo Gia,2021-05-28,"Comedy,Drama,Family",128,-
Blacklight,2022-02-10,"Action,Drama,Thriller",104,Mark Williams
Black Widow,2021-07-07,"Action,Adventure,Sci-Fi",134,Cate Shortland
Black Adam,2022-10-19,"Action,Adventure,Fantasy",125,Jaume Collet-Serra
Beast,2022-08-10,"Action,Comedy,Thriller",155,Nelson Dilipkumar
Beast,2022-08-10,"Action,Adventure,Drama",93,Baltasar Kormákur
Barbarian,2022-09-08,"Horror,Mystery,Thriller",102,Zach Cregger
Babylon,2022-12-23,"Comedy,Drama,History",189,Damien Chazelle
Babylon,2022-12-23,"Action,Drama",151,Dana Kjeldsen
Avatar: The Way of Water,2022-12-09,"Action,Adventure,Fantasy",192,James Cameron
Armageddon Time,2022-09-14,Drama,114,James Gray
Amsterdam,2022-10-06,"Comedy,Drama,History",134,David O. Russell
A Mouthful of Air,2021-10-29,Drama,105,Amy Koppelman
